model,seed,epoch,loss_type,loss_value
gnn,13,90,train,0.2555025184665555
gnn,13,90,val,0.279554098438334
gnn,13,91,train,0.2545737430829275
gnn,13,91,val,0.27385184595587864
gnn,13,92,train,0.26183100686375405
gnn,13,92,val,0.27496235972439625
gnn,13,93,train,0.2555482884268423
gnn,13,93,val,0.2722358829558632
gnn,13,94,train,0.2581146432990713
gnn,13,94,val,0.28289247444299226
gnn,13,95,train,0.257554048923001
gnn,13,95,val,0.27258069692492515
gnn,13,96,train,0.2609012644368558
gnn,13,96,val,0.27049742920384473
gnn,13,97,train,0.25989616064421756
gnn,13,97,val,0.2784848036108769
gnn,13,98,train,0.2600074263712242
gnn,13,98,val,0.27259599634341813
gnn,13,99,train,0.25416980826061963
gnn,13,99,val,0.2756570159140876
gnn,13,100,train,0.2596579478422464
gnn,13,100,val,0.28126749174930066
gnn,37,1,train,1.6273493795023137
gnn,37,1,val,1.1370431455448289
gnn,37,2,train,1.4662143600676123
gnn,37,2,val,1.0098355611287455
gnn,37,3,train,1.3669719892009808
gnn,37,3,val,1.0160653628882224
gnn,37,4,train,1.2686849475300224
gnn,37,4,val,1.0233460545759803
gnn,37,5,train,1.069240859314636
gnn,37,5,val,0.7945650655334214
gnn,37,6,train,1.1296517668997197
gnn,37,6,val,0.8616218384431467
gnn,37,7,train,1.0811475709083762
gnn,37,7,val,0.82712991918518
gnn,37,8,train,0.9745073058657883
gnn,37,8,val,0.7795634844075217
gnn,37,9,train,0.8771123611038169
gnn,37,9,val,0.6836290982723993
gnn,37,10,train,0.7950708120341795
gnn,37,10,val,0.6065744996538663
gnn,37,11,train,0.7983407996030238
gnn,37,11,val,0.5992173211346934
gnn,37,12,train,0.7238267832922914
gnn,37,12,val,0.6572080399292516
gnn,37,13,train,0.7353474215187947
gnn,37,13,val,0.5585361033099191
gnn,37,14,train,0.6555035704646729
gnn,37,14,val,0.5000459160582816
gnn,37,15,train,0.6498050382668593
gnn,37,15,val,0.42483242136095273
gnn,37,16,train,0.6360778467371115
gnn,37,16,val,0.509460498819133
gnn,37,17,train,0.5420392052285493
gnn,37,17,val,0.4707067017144695
gnn,37,18,train,0.5251834132749508
gnn,37,18,val,0.4764193663024049
gnn,37,19,train,0.6007808934517617
gnn,37,19,val,0.49604410961860634
gnn,37,20,train,0.47934028252506095
gnn,37,20,val,0.47531749833925907
gnn,37,21,train,0.456716757120419
gnn,37,21,val,0.4763858719436609
gnn,37,22,train,0.44664007723773164
gnn,37,22,val,0.4194028721561756
gnn,37,23,train,0.34202604983954343
gnn,37,23,val,0.39545051611501547
gnn,37,24,train,0.4067528736248994
gnn,37,24,val,0.39622282674514947
gnn,37,25,train,0.4078288449026233
gnn,37,25,val,0.47577526032527084
gnn,37,26,train,0.3858128798606043
gnn,37,26,val,0.2926869659108676
gnn,37,27,train,0.3745537362212891
gnn,37,27,val,0.3881440726196546
gnn,37,28,train,0.344120708194201
gnn,37,28,val,0.4697776684139817
gnn,37,29,train,0.3160673198179302
gnn,37,29,val,0.36784480896528426
gnn,37,30,train,0.3065997825114435
gnn,37,30,val,0.36241278549868344
gnn,37,31,train,0.3518713411865206
gnn,37,31,val,0.3441085532524586
gnn,37,32,train,0.2870530103367283
gnn,37,32,val,0.3583836306910744
gnn,37,33,train,0.3290023142972773
gnn,37,33,val,0.33069323229351844
gnn,37,34,train,0.2935104481773284
gnn,37,34,val,0.35522033071549886
gnn,37,35,train,0.3250083264993656
gnn,37,35,val,0.31899629226521525
gnn,37,36,train,0.3382075728242688
gnn,37,36,val,0.3619209809760786
gnn,37,37,train,0.2790863756030727
gnn,37,37,val,0.3555863695629124
gnn,37,38,train,0.3023882601283965
gnn,37,38,val,0.3181444825625219
gnn,37,39,train,0.260270389432371
gnn,37,39,val,0.3344505346851415
gnn,37,40,train,0.3316023873567366
gnn,37,40,val,0.31861593900741475
gnn,37,41,train,0.275550043761329
gnn,37,41,val,0.33410997541967974
